"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2022",219.254952911382,155.675272862808,282.834632959956,122.018223314138,316.491682508626
"Feb 2022",219.478779162144,155.593331864259,283.364226460029,121.774418911235,317.183139413053
"Mar 2022",219.698034536178,155.508269504296,283.88779956806,121.528260473974,317.867808598381
"Apr 2022",219.912812377825,155.42015874997,284.40546600568,121.279810182321,318.545814573329
"May 2022",220.123204125193,155.329071135712,284.917337114674,121.029129034336,319.217279216049
"Jun 2022",220.32929934908,155.235076786957,285.423521911203,120.776276861703,319.882321836457
"Jul 2022",220.531185791113,155.138244443614,285.924127138612,120.521312345426,320.541059236801
"Aug 2022",220.728949401099,155.038641483343,286.419257318856,120.264293031665,321.193605770534
"Sep 2022",220.922674373618,154.936333944647,286.909014802588,120.005275347679,321.840073399557
"Oct 2022",221.112443183865,154.831386549758,287.393499817971,119.744314617845,322.480571749884
"Nov 2022",221.298336622767,154.723862727302,287.872810518231,119.481465079746,323.115208165788
"Dec 2022",221.480433831374,154.613824634741,288.347043028007,119.216779900272,323.744087762476
